Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2021-12-25,-1,,,0.01,,7.9
2021-12-27,8,13,,0.02,,8.3
2021-12-28,2,,,0.00,,8.3
2021-12-29,-1,3,,0.00,,8.3
2021-12-31,10,,,0.02,,8.3
2022-01-01,18,,,0.03,,8.3
2022-01-02,24,,16,0.01,,8.3
2022-01-03,18,,,0.06,,8.3
2022-01-04,6,,,0.01,,8.7
2022-01-05,-3,4,,0.03,,8.7
2022-01-06,-2,,,0.00,,8.3
2022-01-07,21,,4,0.21,,9.4
2022-01-08,24,,,0.28,,11.4
2022-01-09,8,,,0.12,,11.8
2022-01-10,13,,5,0.00,,11.4
2022-01-11,8,,,0.00,,11.4
2022-01-12,-8,,,0.01,,11.8
2022-01-13,-5,,,0.00,,11.4
2022-01-14,7,,1,0.03,,11.4
2022-01-15,4,,,0.13,,11.8
2022-01-16,12,,,0.08,,12.2
2022-01-17,13,,,0.01,,12.2
2022-01-18,24,,16,0.00,,11.4
2022-01-19,26,,,0.00,,11.4
2022-01-20,20,,,0.00,,11.4
2022-01-21,11,,,0.00,,11.4
2022-01-22,-3,,,0.00,,11.0
2022-01-23,-3,,,0.00,,11.0
2022-01-24,10,,,0.00,,11.0
2022-01-25,16,,,0.00,,11.0
2022-01-26,8,,,0.00,,10.6
2022-01-27,10,18,,0.00,,10.6
2022-01-28,,,,0.00,,10.6
2022-01-29,,,,0.00,,10.6
2022-01-30,-3,,,0.00,,10.6
2022-01-31,10,17,,0.02,,10.6
2022-02-01,22,,12,0.02,,11.0
2022-02-02,26,32,20,0.08,,11.4
2022-02-03,26,31,,0.01,,11.4
2022-02-04,27,,,0.12,,11.4
2022-02-05,17,,,0.00,,11.8
2022-02-06,8,,,0.00,,11.8
2022-02-07,,,,0.00,,11.8
2022-02-08,8,,,0.01,,11.8
2022-02-09,15,,,0.04,,12.2
2022-02-10,10,17,,0.01,,12.2
2022-02-11,6,,,0.24,,12.2
2022-02-12,10,,,0.28,,15.4
2022-02-13,21,,,0.04,,15.7
2022-02-14,14,,,0.03,,15.7
2022-02-15,15,,,0.01,,15.7
2022-02-16,23,,17,0.01,,15.4
2022-02-17,21,,,0.00,,15.0
2022-02-18,19,35,,0.00,,14.6
2022-02-19,20,39,,0.00,,14.6
2022-02-20,24,,,0.00,,13.8
2022-02-21,30,36,,0.00,,13.4
2022-02-22,28,,,0.00,,13.4
2022-02-23,34,,28,0.02,,13.4
2022-02-24,31,,,0.04,,13.4
2022-02-25,28,,,0.00,,13.4
2022-02-26,24,39,,0.00,,13.4
2022-02-27,30,36,,0.03,,13.4
2022-02-28,23,,,0.03,,12.6
2022-03-01,25,33,,0.00,,12.6
2022-03-02,24,37,,0.00,,11.8
2022-03-03,27,,,0.00,,11.8
2022-03-04,24,,,0.00,,11.8
